end_citys
posX,posZ
1337,-535
1385,-311
985,1353
745,1353
-1543,-935
1673,-1815
1977,-1847
1049,1993
-263,2009
-1207,1993
-1879,697
-1239,-2199
2313,745
-567,-2487
729,-2487
1033,-2487
-2503,-1847
2649,-2823
1625,2953
-2791,-279
-2775,-567
2025,-3143
3273,-583
-3079,-1831
3641,-2839
3545,-2199
3545,681
3257,3577
-519,3625
-3495,-2807
-3479,-3063
-1175,-3751
3305,-3767
3945,-2775
3273,3945
-3783,3241
-3767,73
4233,-279
4217,3593
57,4201
-4135,-1207
-1207,-4471
1657,4505
1369,4489
-3383,4553
-4439,697
-4375,-2807
-4119,-4759
-1191,-4711
4889,3273
-2471,4889
-4727,3305
-4711,2969
-4743,1993
3273,-5079
5193,-4743
5209,681
5177,2985
1705,5209
-5047,1641
5497,-2135
5545,2601
5481,5529
665,5529
-5047,5513
-5399,5513
-5351,4201
-5367,3241
-5303,2937
-5399,-1223
-5351,-1895
-5367,-4423
-519,-5687
5801,409
-5735,361
-5719,-5047
3593,-6023
5465,-6071
6185,-4455
6105,-3143
6137,-1559
2969,6137
-903,6105
-5975,713
-6039,-4071
-5991,-6055
-3399,-6311
-2183,-6311
-1207,-6311
3577,-6375
6457,-1847
6489,6473
713,6489
-4727,6457
-6327,5529
-6295,1033
-6295,-871
-5687,-6663
6777,-6311
6745,-5735
6761,377
6809,1049
6729,3257
2937,6777
-6647,-1847
-2823,-6967
7049,-2199
7081,-887
7081,1033
7145,4233
-4439,-7255
1977,-7319
6793,-7303
7385,-5063
7417,729
7417,4489
7449,7401
4601,7433
4281,7465
-7303,6489
-7303,1353
3289,-7607
6521,-7607
7753,-3463
7689,-3111
7769,7417
7385,7753
7129,7769
5497,7753
2649,7785
-7607,-1191
-7575,-1511
-4407,-7991
8041,777
8105,7705
-2487,8057
-7975,-7911
-1591,-8215
4601,-8295
6441,-8231
8409,-7943
8425,1337
-6679,8377
-8231,2985
-8295,-1863
729,-8551
4873,-8551
8713,-4407
8665,-1495
-3431,8729
-4151,8745
-8599,6121
-4727,-8951
-551,-8919
2297,-8887
8057,-8903
9065,713
9065,2633
9001,5497
